interval_width,algorithm,replication_number,interval_start,interval_end,duration
100,sieve_of_sundaram,-1,392773,392873,0.16299891471862793
1000,sieve_of_eratosthenes,-1,127830,128830,0.014998197555541992
1000,sieve_of_sundaram,-1,191040,192040,0.07600760459899902
1000,sieve_of_sundaram,-1,586995,587995,0.26699209213256836
10000,naive_algorithm,-1,94472,104472,0.022998809814453125
10000,sieve_of_eratosthenes,-1,731944,741944,0.0950002670288086
10,sieve_of_sundaram,-1,540602,540612,0.2282545566558838
100,naive_algorithm,-1,572796,572896,0.0010013580322265625
10,naive_algorithm,-1,437162,437172,0.0
100,sieve_of_eratosthenes,-1,745387,745487,0.09703326225280762
1000,sieve_of_sundaram,-1,689529,690529,0.30099987983703613
10,sieve_of_eratosthenes,-1,205835,205845,0.025000333786010742
10,naive_algorithm,-1,712420,712430,0.0
10,sieve_of_sundaram,-1,863978,863988,0.4070110321044922
100,naive_algorithm,-1,975417,975517,0.0009891986846923828
10,sieve_of_sundaram,-1,931466,931476,0.42496752738952637
10000,sieve_of_eratosthenes,-1,948128,958128,0.12247180938720703
100,sieve_of_eratosthenes,-1,841765,841865,0.11403942108154297
10000,sieve_of_eratosthenes,-1,151984,161984,0.019001245498657227
1000,sieve_of_sundaram,-1,198509,199509,0.07695817947387695
1000,naive_algorithm,-1,837853,838853,0.0060002803802490234
10,naive_algorithm,-1,371548,371558,0.0
10,sieve_of_sundaram,-1,96131,96141,0.03699994087219238
100,sieve_of_eratosthenes,-1,56345,56445,0.0060002803802490234
100,sieve_of_eratosthenes,-1,356683,356783,0.0429997444152832
10,naive_algorithm,-1,189953,189963,0.0
10000,sieve_of_sundaram,-1,780826,790826,0.35000014305114746
100,sieve_of_eratosthenes,-1,595826,595926,0.07399988174438477
10000,naive_algorithm,-1,857202,867202,0.05701899528503418
10,sieve_of_sundaram,-1,371810,371820,0.15296721458435059
1000,sieve_of_sundaram,-1,848169,849169,0.3750009536743164
10,sieve_of_eratosthenes,-1,252761,252771,0.030997514724731445
1000,sieve_of_eratosthenes,-1,920276,921276,0.12100076675415039
10000,sieve_of_eratosthenes,-1,904982,914982,0.12099981307983398
10000,naive_algorithm,-1,802774,812774,0.05404162406921387
100,naive_algorithm,-1,918479,918579,0.0
100,sieve_of_eratosthenes,-1,259330,259430,0.030965328216552734
100,naive_algorithm,-1,82136,82236,0.0010008811950683594
10000,naive_algorithm,-1,574741,584741,0.04599881172180176
1000,naive_algorithm,-1,358771,359771,0.004000186920166016
100,sieve_of_sundaram,-1,272366,272466,0.11499977111816406
10,naive_algorithm,-1,181960,181970,0.0
100,sieve_of_eratosthenes,-1,617831,617931,0.08100032806396484
100,sieve_of_sundaram,-1,297735,297835,0.12299966812133789
10000,naive_algorithm,-1,805487,815487,0.05500173568725586
100,sieve_of_sundaram,-1,752841,752941,0.3249986171722412
10,naive_algorithm,-1,954364,954374,0.0
100,sieve_of_sundaram,-1,156104,156204,0.059999942779541016
100,naive_algorithm,-1,331618,331718,0.0
1000,sieve_of_eratosthenes,-1,37327,38327,0.005033016204833984
